State,1990,1994,Postal
Alabama,10,17,AL
Arizona,2,0,AZ
Arkansas,4,4,AR
California,17,11,CA
Colorado,1,5,CO
Connecticut,8,12,CT
Delaware,4,1,DE
District of Columbia,3,2,DC
Florida,13,12,FL
Georgia,26,25,GA
Idaho,1,2,ID
Illinois,2,5,IL
Indiana,2,4,IN
Iowa,2,0,IA
Kansas,2,2,KS
Kentucky,7,6,KY
Louisiana,6,6,LA
Maine,1,0,ME
Maryland,31,21,MD
Massachusetts,8,16,MA
Michigan,1,3,MI
Minnesota,3,3,MN
Mississippi,5,3,MS
Missouri,4,3,MO
Montana,0,0,MT
Nebraska,1,1,NE
Nevada,0,0,NV
New Hampshire,2,0,NH
New Jersey,16,34,NJ
New Mexico,0,0,NM
New York,25,17,NY
North Carolina,10,32,NC
North Dakota,0,0,ND
Ohio,8,7,OH
Oklahoma,2,5,OK
Oregon,1,5,OR
Pennsylvania,29,23,PA
Rhode Island,0,1,RI
South Carolina,14,19,SC
South Dakota,0,1,SD
Tennessee,16,8,TN
Texas,33,36,TX
Utah,0,2,UT
Vermont,0,0,VT
Virginia,41,78,VA
Washington,4,5,WA
West Virginia,12,7,WV
Wisconsin,2,3,WI
Wyoming,1,1,WY
