Class,Home State,Virginia County,Home Zip,Home Country,High School Attended,High School  CSZ,zip,long,lat
2022,GA,,30078,,Brookwood High School                                       ,"Snellville, GA 30078-2249                    ",30078, -84.017993,33.861019
2022,NY,,11211,,                                                            ,                                             ,,,
2022,NC,,28173,,Weddington High School                                      ,"Matthews, NC 28104                           ",28104, -80.692836,35.060568
2022,FL,,32789,,Trinity Preparatory School                                  ,"Winter Park, FL 32792-9399                   ",32792, -81.298342,28.610096
2022,WA,,99169,,Ritzville High School                                       ,"Ritzville, WA 99169-1674                     ",99169,-118.340218,47.105898
2022,NJ,,7928,,Pingry School                                               ,"Basking Ridge, NJ 07920-2709                 ",07920, -74.564115,40.678994
2022,CT,,6105,,Taft School                                                 ,"Watertown, CT 06795-2130                     ",06795, -73.126195,41.623892
2022,NC,,27858,,Oakwood School The                                          ,"Greenville, NC 27834                         ",27834, -77.379187,35.657296
2022,MD,,21228,,Mount Saint Joseph High School                              ,"Baltimore, MD 21229-4102                     ",21229, -76.691404,39.284242
2022,CT,,6840,,New Canaan High School                                      ,"New Canaan, CT 06840-6626                    ",06840, -73.500124,41.160393
2022,,,,PALESTINIAN TERRITORIES,                                                            ,                                             ,,,
2022,VA,HENRICO,23059,,Saint Christophers School                                   ,"Richmond, VA 23226                           ",23226, -77.523347,37.579912
2022,NJ,,7006,,West Essex Senior High School                               ,"N Caldwell, NJ 07006-4758                    ",07006, -74.282865,40.851187
2022,,,,MOROCCO,UWC Changshu                                                ,                                             ,,,
2022,MD,,20706,,Annapolis Senior High School                                ,"Annapolis, MD 21401-7205                     ",21401, -76.552800,38.987750
2022,ID,,83274,,                                                            ,                                             ,,,
2022,VA,SPOTSYLVANIA,22553,,Courtland High School                                       ,"Spotsylvania, VA 22553-1803                  ",22553, -77.649295,38.271202
2022,GA,,30088,,Georgia Cyber Academy                                       ,"Atlanta, GA 30349-5974                       ",30349, -84.523908,33.622488
2022,CA,,94118,,Branson School                                              ,"Ross, CA 94957                               ",94957,-122.563588,37.963111
2022,NY,,10451,,Dr Richard Izquierdo Health and S                           ,"Bronx, NY 10456-5443                         ",10456, -73.908120,40.829881
2022,VA,RICHMOND CITY,23226,,Collegiate School                                           ,"Richmond, VA 23229-7709                      ",23229, -77.574165,37.586772
2022,,,,PAKISTAN,Nixor College                                               ,                                             ,,,
2022,MD,,20853,,Gonzaga College High School                                 ,"Washington, DC 20001-1400                    ",20001, -77.017739,38.910353
2022,VA,FAIRFAX COUNTY,22307,,Bishop Ireton High School                                   ,"Alexandria, VA 22314-4896                    ",22314, -77.056374,38.806853
2022,MD,,21013,,Loyola Blakefield High School                               ,"Towson, MD 21030                             ",21030, -76.674443,39.492412
2022,NC,,28210,,South Mecklenburg High School                               ,"Charlotte, NC 28210-7609                     ",28210, -80.856685,35.130509
2022,LA,,70808,,Dunham School                                               ,"Baton Rouge, LA 70810                        ",70810, -91.092135,30.331942
2022,GA,,30294,,Stockbridge High School                                     ,"Stockbridge, GA 30281-2605                   ",30281, -84.193388,33.567898
2022,VA,CHESTERFIELD,23836,,Jamestown High School                                       ,"Williamsburg, VA 23185                       ",23185, -76.718509,37.228498
2022,FL,,32207,,The Bolles School                                           ,"Jacksonville, FL 32217-3430                  ",32217, -81.621158,30.229180
2022,MA,,1803,,Buckingham Browne And Nichols Sch                           ,"Cambridge, MA 02138-5504                     ",02138, -71.135152,42.379637
2022,MD,,21212,,Towson High School                                          ,"Towson, MD 21286                             ",21286, -76.573235,39.411836
2022,OH,,43082,,Olentangy Orange High School                                ,"Lewis Center, OH 43035                       ",43035, -82.995118,40.188543
2022,,,,KENYA,                                                            ,                                             ,,,
2022,IL,,60563,,Benet Academy                                               ,"Lisle, IL 60532-2393                         ",60532, -88.083984,41.789443
2022,NC,,27707,,Guilford High School                                        ,"Guilford, CT 06437-1834                      ",06437, -72.696816,41.331777
2022,NC,,28209,,Myers Park High School                                      ,"Charlotte, NC 28209-1716                     ",28209, -80.853985,35.178714
2022,AL,,36608,,Ums Wright Preparatory School                               ,"Mobile, AL 36607-3140                        ",36607, -88.105760,30.698560
2022,NY,,11724,,Cold Spring Harbor High School                              ,"Cold Spring Hrbr, NY 11724-1799              ",11724, -73.456381,40.864221
2022,TX,,77024,,Kinkaid School                                              ,"Houston, TX 77024-7504                       ",77024, -95.514203,29.772179
2022,GA,,30339,,The Westminster Schools                                     ,"Atlanta, GA 30327-2428                       ",30327, -84.417300,33.869694
