Class,Sex,Degree1,Major1,Major2,Minor1,Minor2,Johnson Scholar,Social Org,Varsity sport1           ,Varsity sport2           ,Varsity sport3           ,Home State,Virginia County,Home Zip,Home Country,High School Attended                                        ,High School  CSZ                             
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,GA,,30078,,Brookwood High School                                       ,"Snellville, GA 30078-2249                    "
2022,M,BA,UNDEC,,,,,Lambda Chi Alpha,                         ,                         ,                         ,NY,,11211,,                                                            ,                                             
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,Vars Basketball          ,                         ,                         ,NC,,28173,,Weddington High School                                      ,"Matthews, NC 28104                           "
2022,F,BA,UNDEC,,,,,Kappa Alpha Theta,Vars Cross Country       ,Vars Track/Field In      ,Vars Track/Field Out     ,FL,,32789,,Trinity Preparatory School                                  ,"Winter Park, FL 32792-9399                   "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,                         ,                         ,                         ,WA,,99169,,Ritzville High School                                       ,"Ritzville, WA 99169-1674                     "
2022,M,BA,UNDEC,,,,,Kappa Sigma,Vars Soccer              ,                         ,                         ,NJ,,7928,,Pingry School                                               ,"Basking Ridge, NJ 07920-2709                 "
2022,F,BA,UNDEC,,,,,Delta Society,                         ,                         ,                         ,CT,,6105,,Taft School                                                 ,"Watertown, CT 06795-2130                     "
2022,F,BA,UNDEC,,,,JOHNSON,Pi Beta Phi,                         ,                         ,                         ,NC,,27858,,Oakwood School The                                          ,"Greenville, NC 27834                         "
2022,M,BA,UNDEC,,,,JOHNSON,Sigma Chi,                         ,                         ,                         ,MD,,21228,,Mount Saint Joseph High School                              ,"Baltimore, MD 21229-4102                     "
2022,F,BA,UNDEC,,,,,Kappa Alpha Theta,Vars Volleyball          ,                         ,                         ,CT,,6840,,New Canaan High School                                      ,"New Canaan, CT 06840-6626                    "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,,,,PALESTINIAN TERRITORIES,                                                            ,                                             
2022,M,BA,UNDEC,,,,,Kappa Alpha Order,Vars Football            ,                         ,                         ,VA,HENRICO,23059,,Saint Christophers School                                   ,"Richmond, VA 23226                           "
2022,F,BA,UNDEC,,,,,Delta Society,Vars Field Hockey        ,                         ,                         ,NJ,,7006,,West Essex Senior High School                               ,"N Caldwell, NJ 07006-4758                    "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,,,,MOROCCO,UWC Changshu                                                ,                                             
2022,M,BA,UNDEC,,,,,Independent,Vars Lacrosse            ,                         ,                         ,MD,,20706,,Annapolis Senior High School                                ,"Annapolis, MD 21401-7205                     "
2022,F,BA,UNDEC,,,,JOHNSON,Independent,                         ,                         ,                         ,ID,,83274,,                                                            ,                                             
2022,M,BA,UNDEC,,,,,Independent,Vars Football            ,                         ,                         ,VA,SPOTSYLVANIA,22553,,Courtland High School                                       ,"Spotsylvania, VA 22553-1803                  "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,GA,,30088,,Georgia Cyber Academy                                       ,"Atlanta, GA 30349-5974                       "
2022,M,BA,UNDEC,,,,,Sigma Chi,                         ,                         ,                         ,CA,,94118,,Branson School                                              ,"Ross, CA 94957                               "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,NY,,10451,,Dr Richard Izquierdo Health and S                           ,"Bronx, NY 10456-5443                         "
2022,F,BA,UNDEC,,,,,Kappa Alpha Theta,Vars Swimming/Diving     ,                         ,                         ,VA,RICHMOND CITY,23226,,Collegiate School                                           ,"Richmond, VA 23229-7709                      "
2022,M,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,,,,PAKISTAN,Nixor College                                               ,                                             
2022,M,BA,UNDEC,,,,,Phi Zeta Delta,Vars Lacrosse            ,                         ,                         ,MD,,20853,,Gonzaga College High School                                 ,"Washington, DC 20001-1400                    "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,                         ,                         ,                         ,VA,FAIRFAX COUNTY,22307,,Bishop Ireton High School                                   ,"Alexandria, VA 22314-4896                    "
2022,M,BA,UNDEC,,,,,Independent,Vars Baseball            ,                         ,                         ,MD,,21013,,Loyola Blakefield High School                               ,"Towson, MD 21030                             "
2022,F,BA,UNDEC,,,,,Kappa Alpha Theta,Vars Swimming/Diving     ,                         ,                         ,NC,,28210,,South Mecklenburg High School                               ,"Charlotte, NC 28210-7609                     "
2022,F,BA,UNDEC,,,,,Independent,Vars Basketball          ,                         ,                         ,LA,,70808,,Dunham School                                               ,"Baton Rouge, LA 70810                        "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,GA,,30294,,Stockbridge High School                                     ,"Stockbridge, GA 30281-2605                   "
2022,F,BA,UNDEC,,,,,Pi Beta Phi,                         ,                         ,                         ,VA,CHESTERFIELD,23836,,Jamestown High School                                       ,"Williamsburg, VA 23185                       "
2022,M,BA,UNDEC,,,,,Pi Kappa Alpha,                         ,                         ,                         ,FL,,32207,,The Bolles School                                           ,"Jacksonville, FL 32217-3430                  "
