Class,Home State,HighSchool,zip,long,lat
2022,GA,Brookwood High School                                       ,30078,-84.017993,33.861019
2022,NY,                                                            ,,,
2022,NC,Weddington High School                                      ,28104,-80.692836,35.060568
2022,FL,Trinity Preparatory School                                  ,32792,-81.298342,28.610096
2022,WA,Ritzville High School                                       ,99169,-118.340218,47.105898
2022,NJ,Pingry School                                               ,7920,-74.564115,40.678994
2022,CT,Taft School                                                 ,6795,-73.126195,41.623892
2022,NC,Oakwood School The                                          ,27834,-77.379187,35.657296
2022,MD,Mount Saint Joseph High School                              ,21229,-76.691404,39.284242
2022,CT,New Canaan High School                                      ,6840,-73.500124,41.160393
2022,,                                                            ,,,
2022,VA,Saint Christophers School                                   ,23226,-77.523347,37.579912
2022,NJ,West Essex Senior High School                               ,7006,-74.282865,40.851187
2022,,UWC Changshu                                                ,,,
2022,MD,Annapolis Senior High School                                ,21401,-76.5528,38.98775
2022,ID,                                                            ,,,
2022,VA,Courtland High School                                       ,22553,-77.649295,38.271202
2022,GA,Georgia Cyber Academy                                       ,30349,-84.523908,33.622488
2022,CA,Branson School                                              ,94957,-122.563588,37.963111
2022,NY,Dr Richard Izquierdo Health and S                           ,10456,-73.90812,40.829881
2022,VA,Collegiate School                                           ,23229,-77.574165,37.586772
2022,,Nixor College                                               ,,,
2022,MD,Gonzaga College High School                                 ,20001,-77.017739,38.910353
2022,VA,Bishop Ireton High School                                   ,22314,-77.056374,38.806853
2022,MD,Loyola Blakefield High School                               ,21030,-76.674443,39.492412
2022,NC,South Mecklenburg High School                               ,28210,-80.856685,35.130509
2022,LA,Dunham School                                               ,70810,-91.092135,30.331942
2022,GA,Stockbridge High School                                     ,30281,-84.193388,33.567898
2022,VA,Jamestown High School                                       ,23185,-76.718509,37.228498
2022,FL,The Bolles School                                           ,32217,-81.621158,30.22918
2022,MA,Buckingham Browne And Nichols Sch                           ,2138,-71.135152,42.379637
2022,MD,Towson High School                                          ,21286,-76.573235,39.411836
2022,OH,Olentangy Orange High School                                ,43035,-82.995118,40.188543
2022,,                                                            ,,,
2022,IL,Benet Academy                                               ,60532,-88.083984,41.789443
2022,NC,Guilford High School                                        ,6437,-72.696816,41.331777
2022,NC,Myers Park High School                                      ,28209,-80.853985,35.178714
2022,AL,Ums Wright Preparatory School                               ,36607,-88.10576,30.69856
2022,NY,Cold Spring Harbor High School                              ,11724,-73.456381,40.864221
2022,TX,Kinkaid School                                              ,77024,-95.514203,29.772179
2022,GA,The Westminster Schools                                     ,30327,-84.4173,33.869694
2022,PA,Saucon Valley Senior Hs                                     ,18055,-75.304353,40.591583
2022,CA,Pacific Ridge School                                        ,92009,-117.243882,33.09547
2022,SC,Ashley Hall                                                 ,29403,-79.94318,32.8059
2022,FL,Benjamin School                                             ,33418,-80.165712,26.872713
2022,PA,Spring-Ford High School                                     ,19468,-75.532067,40.207638
2022,TX,Woodrow Wilson High School                                  ,75214,-96.745968,32.828494
2022,NC,Myers Park High School                                      ,28209,-80.853985,35.178714
2022,NC,Providence High School                                      ,28270,-80.764415,35.112079
2022,TX,Richard King High School                                    ,78412,-97.345045,27.703573
2022,VA,Georgetown Visitation Prep Sch                              ,20007,-77.079339,38.914363
2022,TN,David Lipscomb High School                                  ,37204,-86.774283,36.106735
